CustomerID,Total_Orders,Total_Quantity,Total_Spending,Average_Order_Value,Average_Unit_Price,Average_Items_In_Cart,First_Purchase,Last_Purchase,Customer_Tenure,Days_Since_Last_Order,Purchase_Frequency,Favorite_Product,Preferred_Payment,Preferred_Referral,Cluster
C13186,1,2.0,889.68,889.68,444.84,7.0,2023-08-29,2023-08-29,671,671,0.0,Tablet,Online,Facebook,3
C13205,1,5.0,2107.1,2107.1,421.42,7.0,2023-01-25,2023-01-25,887,887,0.0,Chair,Debit Card,Instagram,5
C13296,1,2.0,108.82,108.82,54.41,6.0,2023-06-03,2023-06-03,758,758,0.0,Chair,Online,Instagram,1
C13324,1,2.0,1199.48,1199.48,599.74,2.0,2025-03-15,2025-03-15,107,107,0.01,Tablet,Gift Card,Instagram,3
C13366,1,4.0,2714.2,2714.2,678.55,5.0,2023-07-06,2023-07-06,725,725,0.0,Printer,Cash,Email,5
C13501,1,5.0,427.6,427.6,85.52,5.0,2023-08-23,2023-08-23,677,677,0.0,Chair,Gift Card,Facebook,1
C13525,1,3.0,212.79,212.79,70.93,5.0,2024-06-13,2024-06-13,382,382,0.0,Tablet,Debit Card,Referral,3
C13540,1,4.0,1239.64,1239.64,309.91,5.0,2023-06-04,2023-06-04,757,757,0.0,Printer,Debit Card,Google,1
C13877,1,5.0,3330.4075,3330.4075,676.98,5.0,2023-11-26,2023-11-26,582,582,0.0,Chair,Cash,Facebook,5
C13923,1,1.0,118.8,118.8,118.8,6.0,2023-10-08,2023-10-08,631,631,0.0,Tablet,Online,Email,3
C14005,1,2.0,80.46,80.46,40.23,4.0,2024-01-01,2024-01-01,546,546,0.0,Printer,Credit Card,Google,1
C14017,1,2.0,1248.32,1248.32,624.16,2.0,2023-05-09,2023-05-09,783,783,0.0,Phone,Debit Card,Instagram,2
C14080,1,1.0,283.69,283.69,283.69,6.0,2024-06-27,2024-06-27,368,368,0.0,Phone,Gift Card,Google,2
C14114,1,3.0,1704.06,1704.06,568.02,3.0,2024-09-27,2024-09-27,276,276,0.0,Desk,Online,Instagram,7
C14240,1,1.0,491.11,491.11,491.11,4.0,2023-05-03,2023-05-03,789,789,0.0,Desk,Credit Card,Facebook,7
C14427,1,2.0,533.9,533.9,266.95,3.0,2024-07-23,2024-07-23,342,342,0.0,Laptop,Credit Card,Instagram,0
C14455,1,3.0,164.85,164.85,54.95,8.0,2023-12-09,2023-12-09,569,569,0.0,Desk,Cash,Referral,7
C14457,1,5.0,395.4,395.4,79.08,8.0,2024-05-29,2024-05-29,397,397,0.0,Laptop,Cash,Facebook,0
C14552,1,5.0,1120.0,1120.0,224.0,9.0,2023-01-23,2023-01-23,889,889,0.0,Monitor,Cash,Google,6
C14553,1,3.0,440.19,440.19,146.73,8.0,2024-09-09,2024-09-09,294,294,0.0,Tablet,Cash,Email,3
C14568,1,4.0,885.32,885.32,221.33,5.0,2023-02-11,2023-02-11,870,870,0.0,Laptop,Online,Google,0
C14576,1,4.0,2156.8,2156.8,539.2,8.0,2024-04-18,2024-04-18,438,438,0.0,Desk,Credit Card,Google,5
C14600,1,2.0,441.8,441.8,220.9,4.0,2023-07-20,2023-07-20,711,711,0.0,Printer,Gift Card,Email,1
C14683,1,2.0,1069.34,1069.34,534.67,7.0,2025-06-11,2025-06-11,19,19,0.05,Desk,Debit Card,Referral,7
C14737,1,4.0,581.64,581.64,145.41,7.0,2023-01-14,2023-01-14,898,898,0.0,Tablet,Credit Card,Email,3
C14837,1,1.0,183.18,183.18,183.18,6.0,2023-04-01,2023-04-01,821,821,0.0,Monitor,Debit Card,Email,6
C14847,2,5.0,1097.81,548.905,256.78,4.0,2023-01-01,2024-12-19,911,193,0.0,Laptop,Cash,Email,4
C14891,1,4.0,1654.96,1654.96,413.74,7.0,2024-03-23,2024-03-23,464,464,0.0,Chair,Gift Card,Instagram,5
C14983,1,1.0,17.24,17.24,17.24,2.0,2023-07-12,2023-07-12,719,719,0.0,Tablet,Online,Instagram,3
C15017,1,1.0,675.57,675.57,675.57,1.0,2025-05-02,2025-05-02,59,59,0.02,Tablet,Cash,Facebook,3
C15063,1,5.0,426.1,426.1,85.22,7.0,2024-04-29,2024-04-29,427,427,0.0,Chair,Credit Card,Email,1
C15146,1,5.0,190.55,190.55,38.11,6.0,2023-08-17,2023-08-17,683,683,0.0,Laptop,Debit Card,Instagram,0
C15228,1,3.0,1422.42,1422.42,474.14,8.0,2024-02-19,2024-02-19,497,497,0.0,Tablet,Gift Card,Google,3
C15257,1,4.0,580.2,580.2,145.05,6.0,2025-03-21,2025-03-21,101,101,0.01,Chair,Online,Google,1
C15283,1,1.0,381.02,381.02,381.02,6.0,2023-11-25,2023-11-25,583,583,0.0,Printer,Cash,Google,1
C15624,1,5.0,3097.6,3097.6,619.52,9.0,2025-01-21,2025-01-21,160,160,0.01,Tablet,Debit Card,Email,5
C15629,1,3.0,912.45,912.45,304.15,3.0,2023-04-16,2023-04-16,806,806,0.0,Printer,Gift Card,Instagram,1
C15681,1,4.0,2161.64,2161.64,540.41,6.0,2023-08-22,2023-08-22,678,678,0.0,Laptop,Credit Card,Referral,5
C15849,1,1.0,525.43,525.43,525.43,2.0,2024-12-23,2024-12-23,189,189,0.01,Chair,Cash,Instagram,1
C15924,1,1.0,245.89,245.89,245.89,3.0,2024-12-19,2024-12-19,193,193,0.01,Laptop,Debit Card,Google,0
C16012,1,1.0,630.82,630.82,630.82,5.0,2025-03-28,2025-03-28,94,94,0.01,Tablet,Online,Google,3
C16253,1,2.0,399.4,399.4,199.7,4.0,2025-06-23,2025-06-23,7,7,0.12,Laptop,Cash,Email,0
C16400,1,3.0,628.44,628.44,209.48,4.0,2024-10-08,2024-10-08,265,265,0.0,Laptop,Debit Card,Email,0
C16429,1,1.0,679.65,679.65,679.65,6.0,2024-03-26,2024-03-26,461,461,0.0,Desk,Debit Card,Google,7
C16612,1,1.0,600.54,600.54,600.54,4.0,2025-03-19,2025-03-19,103,103,0.01,Desk,Debit Card,Google,7
C16675,1,4.0,857.4,857.4,214.35,7.0,2025-06-09,2025-06-09,21,21,0.05,Printer,Debit Card,Referral,1
C16693,1,4.0,949.72,949.72,237.43,8.0,2025-02-05,2025-02-05,145,145,0.01,Monitor,Cash,Referral,6
C16702,1,3.0,1390.17,1390.17,463.39,3.0,2023-08-27,2023-08-27,673,673,0.0,Monitor,Credit Card,Facebook,6
C16758,1,3.0,188.31,188.31,62.77,6.0,2024-11-01,2024-11-01,241,241,0.0,Tablet,Gift Card,Referral,3
C16775,1,5.0,3330.4075,3330.4075,670.75,8.0,2023-03-27,2023-03-27,826,826,0.0,Printer,Gift Card,Instagram,5
C16776,1,2.0,320.0,320.0,160.0,4.0,2023-09-04,2023-09-04,665,665,0.0,Laptop,Cash,Instagram,0
C16790,1,4.0,258.96,258.96,64.74,8.0,2023-04-08,2023-04-08,814,814,0.0,Laptop,Gift Card,Google,0
C17075,1,4.0,1259.04,1259.04,314.76,8.0,2024-07-25,2024-07-25,340,340,0.0,Tablet,Online,Instagram,3
C17103,1,3.0,1278.36,1278.36,426.12,5.0,2024-01-05,2024-01-05,542,542,0.0,Printer,Online,Instagram,1
C17132,1,1.0,386.03,386.03,386.03,4.0,2024-12-07,2024-12-07,205,205,0.0,Desk,Online,Google,7
C17136,1,4.0,641.96,641.96,160.49,8.0,2023-07-26,2023-07-26,705,705,0.0,Chair,Credit Card,Referral,1
C17181,1,5.0,2276.65,2276.65,455.33,8.0,2025-02-25,2025-02-25,125,125,0.01,Printer,Credit Card,Google,5
C17269,1,4.0,1733.8,1733.8,433.45,4.0,2023-05-03,2023-05-03,789,789,0.0,Monitor,Gift Card,Facebook,6
C17302,1,1.0,359.99,359.99,359.99,5.0,2023-07-25,2023-07-25,706,706,0.0,Phone,Gift Card,Email,2
C17388,1,1.0,317.25,317.25,317.25,1.0,2024-02-10,2024-02-10,506,506,0.0,Chair,Debit Card,Facebook,1
C17389,1,1.0,522.08,522.08,522.08,5.0,2024-11-10,2024-11-10,232,232,0.0,Monitor,Gift Card,Referral,6
C17470,1,2.0,461.9,461.9,230.95,3.0,2024-10-30,2024-10-30,243,243,0.0,Laptop,Online,Referral,0
C17551,1,1.0,518.39,518.39,518.39,4.0,2025-04-13,2025-04-13,78,78,0.01,Laptop,Debit Card,Instagram,0
C17591,1,1.0,479.76,479.76,479.76,1.0,2023-09-29,2023-09-29,640,640,0.0,Tablet,Credit Card,Email,3
C17921,1,4.0,1210.6,1210.6,302.65,8.0,2023-02-20,2023-02-20,861,861,0.0,Desk,Credit Card,Referral,7
C17966,1,2.0,185.74,185.74,92.87,5.0,2023-10-17,2023-10-17,622,622,0.0,Printer,Credit Card,Facebook,1
C18037,1,2.0,140.68,140.68,70.34,3.0,2023-03-08,2023-03-08,845,845,0.0,Laptop,Gift Card,Email,0
C18076,1,3.0,1766.22,1766.22,588.74,8.0,2023-12-01,2023-12-01,577,577,0.0,Phone,Debit Card,Email,2
C18104,1,5.0,635.9,635.9,127.18,9.0,2024-11-15,2024-11-15,227,227,0.0,Chair,Cash,Referral,1
C18105,1,4.0,2332.08,2332.08,583.02,4.0,2024-10-25,2024-10-25,248,248,0.0,Laptop,Online,Facebook,0
C18138,1,3.0,1618.38,1618.38,539.46,4.0,2023-04-06,2023-04-06,816,816,0.0,Printer,Credit Card,Facebook,1
C18167,1,4.0,887.84,887.84,221.96,7.0,2024-03-17,2024-03-17,470,470,0.0,Desk,Cash,Google,7
C18169,1,2.0,929.84,929.84,464.92,2.0,2025-05-03,2025-05-03,58,58,0.02,Tablet,Debit Card,Facebook,3
C18187,1,1.0,605.28,605.28,605.28,3.0,2024-11-18,2024-11-18,224,224,0.0,Laptop,Gift Card,Referral,0
C18353,1,3.0,1299.99,1299.99,433.33,4.0,2025-06-03,2025-06-03,27,27,0.04,Tablet,Credit Card,Referral,3
C18404,1,5.0,3330.4075,3330.4075,674.04,7.0,2023-02-28,2023-02-28,853,853,0.0,Tablet,Online,Google,5
C18473,1,2.0,840.58,840.58,420.29,3.0,2025-06-14,2025-06-14,16,16,0.06,Chair,Gift Card,Google,1
C18567,1,4.0,365.84,365.84,91.46,9.0,2023-09-23,2023-09-23,646,646,0.0,Printer,Cash,Referral,1
C18583,1,5.0,1822.1,1822.1,364.42,10.0,2023-08-20,2023-08-20,680,680,0.0,Phone,Credit Card,Referral,5
C18717,1,5.0,2793.15,2793.15,558.63,8.0,2023-03-26,2023-03-26,827,827,0.0,Printer,Cash,Referral,5
C18724,1,1.0,616.1,616.1,616.1,6.0,2024-06-09,2024-06-09,386,386,0.0,Chair,Cash,Email,1
C18820,1,5.0,2573.0,2573.0,514.6,10.0,2023-06-12,2023-06-12,749,749,0.0,Monitor,Gift Card,Instagram,5
C18826,1,3.0,1443.3,1443.3,481.1,3.0,2023-08-29,2023-08-29,671,671,0.0,Monitor,Credit Card,Facebook,6
C18944,1,4.0,1575.2,1575.2,393.8,7.0,2023-01-20,2023-01-20,892,892,0.0,Chair,Credit Card,Email,5
C18984,1,3.0,1767.9,1767.9,589.3,6.0,2024-04-04,2024-04-04,452,452,0.0,Tablet,Credit Card,Referral,3
C19071,1,3.0,1352.94,1352.94,450.98,8.0,2025-02-24,2025-02-24,126,126,0.01,Tablet,Credit Card,Referral,3
C19266,1,3.0,442.17,442.17,147.39,3.0,2023-03-04,2023-03-04,849,849,0.0,Desk,Debit Card,Email,7
C19368,1,2.0,646.44,646.44,323.22,7.0,2025-04-18,2025-04-18,73,73,0.01,Tablet,Credit Card,Instagram,3
C19384,1,4.0,351.16,351.16,87.79,6.0,2023-12-24,2023-12-24,554,554,0.0,Tablet,Cash,Instagram,3
C19402,1,4.0,1204.68,1204.68,301.17,6.0,2023-12-19,2023-12-19,559,559,0.0,Printer,Online,Email,1
C19439,1,1.0,440.34,440.34,440.34,2.0,2025-06-05,2025-06-05,25,25,0.04,Desk,Gift Card,Facebook,7
C19451,1,4.0,2357.76,2357.76,589.44,5.0,2024-12-22,2024-12-22,190,190,0.01,Tablet,Gift Card,Facebook,5
C19648,1,4.0,2673.44,2673.44,668.36,5.0,2024-09-20,2024-09-20,283,283,0.0,Phone,Gift Card,Facebook,5
C19722,1,1.0,596.24,596.24,596.24,4.0,2024-05-31,2024-05-31,395,395,0.0,Laptop,Credit Card,Instagram,0
C19742,1,1.0,332.09,332.09,332.09,5.0,2023-09-13,2023-09-13,656,656,0.0,Tablet,Gift Card,Instagram,3
C19759,1,2.0,1176.6,1176.6,588.3,2.0,2025-01-02,2025-01-02,179,179,0.01,Chair,Online,Email,1
C19937,1,1.0,438.34,438.34,438.34,5.0,2025-05-26,2025-05-26,35,35,0.03,Printer,Gift Card,Facebook,1
C20077,1,4.0,2372.88,2372.88,593.22,8.0,2024-03-06,2024-03-06,481,481,0.0,Monitor,Credit Card,Facebook,5
C20095,1,2.0,1325.06,1325.06,662.53,5.0,2024-03-04,2024-03-04,483,483,0.0,Monitor,Online,Facebook,6
C20124,1,2.0,177.46,177.46,88.73,5.0,2023-12-18,2023-12-18,560,560,0.0,Printer,Online,Google,1
C20212,1,3.0,1834.35,1834.35,611.45,4.0,2023-12-05,2023-12-05,573,573,0.0,Monitor,Gift Card,Instagram,6
C20256,1,3.0,1616.22,1616.22,538.74,6.0,2024-12-11,2024-12-11,201,201,0.0,Tablet,Online,Email,3
C20257,1,5.0,1343.9,1343.9,268.78,7.0,2023-12-29,2023-12-29,549,549,0.0,Tablet,Debit Card,Email,3
C20286,1,1.0,571.9,571.9,571.9,1.0,2024-09-16,2024-09-16,287,287,0.0,Monitor,Gift Card,Instagram,6
C20338,1,1.0,370.85,370.85,370.85,2.0,2024-12-24,2024-12-24,188,188,0.01,Monitor,Gift Card,Referral,6
C20357,1,3.0,2077.32,2077.32,692.44,8.0,2024-06-12,2024-06-12,383,383,0.0,Phone,Debit Card,Google,2
C20448,1,2.0,296.44,296.44,148.22,7.0,2023-08-15,2023-08-15,685,685,0.0,Tablet,Credit Card,Instagram,3
C20512,1,4.0,2763.12,2763.12,690.78,9.0,2023-07-19,2023-07-19,712,712,0.0,Laptop,Credit Card,Referral,5
C20624,1,1.0,479.56,479.56,479.56,1.0,2025-03-15,2025-03-15,107,107,0.01,Phone,Gift Card,Google,2
C20643,1,4.0,2011.96,2011.96,502.99,4.0,2024-02-16,2024-02-16,500,500,0.0,Laptop,Debit Card,Referral,0
C20670,1,2.0,935.82,935.82,467.91,5.0,2024-04-09,2024-04-09,447,447,0.0,Printer,Gift Card,Facebook,1
C20731,1,4.0,1777.76,1777.76,444.44,8.0,2023-05-19,2023-05-19,773,773,0.0,Printer,Debit Card,Google,5
C20752,1,1.0,572.13,572.13,572.13,4.0,2023-12-22,2023-12-22,556,556,0.0,Printer,Debit Card,Google,1
C20817,1,5.0,3078.35,3078.35,615.67,6.0,2023-05-16,2023-05-16,776,776,0.0,Chair,Online,Email,5
C20861,1,5.0,2441.75,2441.75,488.35,9.0,2025-05-19,2025-05-19,42,42,0.02,Phone,Debit Card,Email,5
C20881,1,2.0,1288.1,1288.1,644.05,5.0,2023-07-18,2023-07-18,713,713,0.0,Laptop,Gift Card,Referral,0
C20977,1,4.0,1740.48,1740.48,435.12,9.0,2023-06-11,2023-06-11,750,750,0.0,Chair,Credit Card,Instagram,5
C21043,1,1.0,694.5,694.5,694.5,3.0,2024-07-18,2024-07-18,347,347,0.0,Phone,Credit Card,Facebook,2
C21126,1,1.0,107.04,107.04,107.04,6.0,2024-06-20,2024-06-20,375,375,0.0,Desk,Credit Card,Google,7
C21147,1,1.0,335.1,335.1,335.1,6.0,2023-06-16,2023-06-16,745,745,0.0,Chair,Debit Card,Referral,1
C21167,1,4.0,2235.6,2235.6,558.9,9.0,2023-02-11,2023-02-11,870,870,0.0,Monitor,Gift Card,Google,5
C21181,1,2.0,1350.2,1350.2,675.1,4.0,2024-04-07,2024-04-07,449,449,0.0,Tablet,Cash,Google,3
C21191,2,3.0,647.77,323.885,243.39499999999998,2.0,2024-04-11,2025-05-16,445,45,0.0,Laptop,Credit Card,Referral,4
C21227,1,1.0,590.87,590.87,590.87,6.0,2023-02-08,2023-02-08,873,873,0.0,Chair,Gift Card,Referral,1
C21437,1,1.0,222.73,222.73,222.73,4.0,2024-05-10,2024-05-10,416,416,0.0,Phone,Online,Google,2
C21665,1,4.0,1700.72,1700.72,425.18,8.0,2023-09-30,2023-09-30,639,639,0.0,Chair,Online,Facebook,5
C21905,1,1.0,298.06,298.06,298.06,3.0,2023-12-21,2023-12-21,557,557,0.0,Tablet,Debit Card,Google,3
C21944,1,5.0,297.75,297.75,59.55,6.0,2024-03-06,2024-03-06,481,481,0.0,Laptop,Online,Referral,0
C21953,1,2.0,250.46,250.46,125.23,3.0,2024-09-19,2024-09-19,284,284,0.0,Laptop,Cash,Email,0
C22101,1,2.0,265.2,265.2,132.6,4.0,2023-03-14,2023-03-14,839,839,0.0,Chair,Debit Card,Email,1
C22123,1,1.0,672.89,672.89,672.89,1.0,2023-09-24,2023-09-24,645,645,0.0,Tablet,Credit Card,Email,3
C22167,1,5.0,2178.3,2178.3,435.66,9.0,2023-08-20,2023-08-20,680,680,0.0,Tablet,Online,Facebook,5
C22429,1,4.0,604.8,604.8,151.2,9.0,2023-07-02,2023-07-02,729,729,0.0,Chair,Gift Card,Facebook,1
C22534,1,1.0,529.19,529.19,529.19,5.0,2023-01-20,2023-01-20,892,892,0.0,Chair,Cash,Referral,1
C22657,1,3.0,1901.91,1901.91,633.97,7.0,2023-12-28,2023-12-28,550,550,0.0,Printer,Cash,Facebook,5
C22783,1,4.0,2771.64,2771.64,692.91,9.0,2024-09-11,2024-09-11,292,292,0.0,Phone,Credit Card,Instagram,5
C22919,1,1.0,195.86,195.86,195.86,3.0,2025-05-10,2025-05-10,51,51,0.02,Tablet,Online,Facebook,3
C22981,1,3.0,472.2,472.2,157.4,7.0,2024-04-15,2024-04-15,441,441,0.0,Desk,Debit Card,Email,7
C22991,1,1.0,252.68,252.68,252.68,1.0,2025-03-31,2025-03-31,91,91,0.01,Phone,Online,Referral,2
C23279,1,2.0,87.34,87.34,43.67,4.0,2023-07-25,2023-07-25,706,706,0.0,Monitor,Cash,Instagram,6
C23334,1,1.0,331.06,331.06,331.06,5.0,2024-05-16,2024-05-16,410,410,0.0,Tablet,Credit Card,Instagram,3
C23405,1,4.0,2780.4,2780.4,695.1,8.0,2024-08-23,2024-08-23,311,311,0.0,Phone,Debit Card,Email,5
C23555,1,4.0,1633.44,1633.44,408.36,4.0,2023-10-16,2023-10-16,623,623,0.0,Desk,Gift Card,Referral,7
C23637,1,1.0,553.56,553.56,553.56,5.0,2023-05-31,2023-05-31,761,761,0.0,Tablet,Credit Card,Referral,3
C23899,1,5.0,1358.45,1358.45,271.69,7.0,2025-03-26,2025-03-26,96,96,0.01,Desk,Online,Instagram,7
C23917,1,1.0,127.55,127.55,127.55,3.0,2023-04-27,2023-04-27,795,795,0.0,Printer,Cash,Referral,1
C23947,1,1.0,120.98,120.98,120.98,6.0,2023-05-18,2023-05-18,774,774,0.0,Laptop,Debit Card,Email,0
C23978,1,1.0,576.35,576.35,576.35,1.0,2024-09-30,2024-09-30,273,273,0.0,Monitor,Gift Card,Instagram,6
C24047,1,4.0,937.8,937.8,234.45,9.0,2023-05-06,2023-05-06,786,786,0.0,Monitor,Online,Instagram,6
C24212,1,3.0,322.08,322.08,107.36,5.0,2023-10-08,2023-10-08,631,631,0.0,Phone,Gift Card,Google,2
C24301,1,2.0,1284.08,1284.08,642.04,4.0,2024-10-26,2024-10-26,247,247,0.0,Phone,Gift Card,Email,2
C24347,1,2.0,646.9,646.9,323.45,5.0,2025-02-16,2025-02-16,134,134,0.01,Laptop,Credit Card,Instagram,0
C24369,1,3.0,1079.19,1079.19,359.73,7.0,2024-03-13,2024-03-13,474,474,0.0,Laptop,Debit Card,Email,0
C24751,1,5.0,2506.3,2506.3,501.26,10.0,2023-12-07,2023-12-07,571,571,0.0,Tablet,Gift Card,Referral,5
C24765,1,2.0,719.72,719.72,359.86,4.0,2024-07-04,2024-07-04,361,361,0.0,Desk,Debit Card,Referral,7
C24769,1,2.0,57.1,57.1,28.55,7.0,2023-11-05,2023-11-05,603,603,0.0,Laptop,Gift Card,Email,0
C24884,1,1.0,260.26,260.26,260.26,5.0,2024-07-22,2024-07-22,343,343,0.0,Monitor,Online,Instagram,6
C24901,1,3.0,299.7,299.7,99.9,8.0,2023-05-05,2023-05-05,787,787,0.0,Chair,Cash,Facebook,1
C25110,1,2.0,126.42,126.42,63.21,4.0,2025-06-30,2025-06-30,0,0,1.0,Tablet,Online,Google,3
C25123,1,1.0,629.21,629.21,629.21,2.0,2023-05-26,2023-05-26,766,766,0.0,Desk,Gift Card,Instagram,7
C25149,1,4.0,1054.48,1054.48,263.62,5.0,2023-09-29,2023-09-29,640,640,0.0,Tablet,Cash,Email,3
C25162,1,2.0,688.36,688.36,344.18,7.0,2023-11-09,2023-11-09,599,599,0.0,Tablet,Credit Card,Referral,3
C25268,1,1.0,665.11,665.11,665.11,3.0,2025-03-04,2025-03-04,118,118,0.01,Printer,Cash,Instagram,1
C25276,1,5.0,3313.9,3313.9,662.78,9.0,2023-05-26,2023-05-26,766,766,0.0,Laptop,Debit Card,Instagram,5
C25316,1,2.0,79.06,79.06,39.53,3.0,2024-06-27,2024-06-27,368,368,0.0,Printer,Credit Card,Google,1
